e, e_dot, e_int, stamp, 
8.780619775596294, -0.06988879333616656, 1.758141403887152, 19244000000, 
8.77133099804889, -0.061946236883165064, 1.756124376183935, 19278000000, 
8.759903253702445, -0.06905507297949735, 1.7541236018231752, 19380000000, 
8.74949502519244, -0.07278657618816926, 1.7520486184629183, 19414000000, 
8.73787804545718, -0.0734173608175522, 1.749818421623471, 19482000000, 
8.73022491423377, -0.06423370319556791, 1.7478398656588925, 19550000000, 
8.71927974933053, -0.061994320422164385, 1.7458255139347651, 19652000000, 
8.710352225425178, -0.06624229602863944, 1.743990459265965, 19720000000, 
8.700193142165155, -0.06362202388458489, 1.7419883411280574, 19754000000, 
8.690102885936518, -0.06749779829553049, 1.7400432169017899, 19788000000, 
8.681535395872583, -0.06219248764190629, 1.738122094931617, 19822000000, 
